Encargado,Frec_insultosCasa,ViolenciaCasa,ExistenciaMaltratoPareja,ExistenciaDemaltratoSuegra,MotivoDeJuntarse,EdadJunte,EnojoDePareja,malltrato
padres,MuchasVeces,NoOcurrio,si,si,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,no,amor,entre25a35,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,si,amor,entre25a35,ProbEconomicos,no
parientes,MuchasVeces,Maltrato,no,no,amor,menorA25,ProbEconomicos,no
padres,Norecuerda,Amenzar,no,noSabe,amor,menorA25,ProbSentimentales,no
parientes,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,si,embarazo,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,si,si,amor,entre25a35,ProbEconomicos,no
padres,MuchasVeces,NoOcurrio,si,si,amor,menorA25,ProbAlcoholicos,no
parientes,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,NoPaso,NoOcurrio,si,noSabe,embarazo,menorA25,ProbAlcoholicos,no
padres,Norecuerda,NoOcurrio,noSabe,noSabe,embarazo,menorA25,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,no,no,amor,menorA25,ProbAlcoholicos,no
padres,NoPaso,NoOcurrio,no,no,amor,menorA25,ProbEconomicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbAlcoholicos,no
padres,MuchasVeces,NoOcurrio,no,no,embarazo,menorA25,ProbAlcoholicos,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSentimentales,no
padres,pocasVeces,Maltrato,no,no,amor,entre25a35,ProbSentimentales,no
padres,pocasVeces,NoOcurrio,noSabe,noSabe,amor,entre25a35,ProbSentimentales,no
padres,NoPaso,NoOcurrio,noSabe,noSabe,amor,menorA25,ProbSocializacion,no
